Time,ATCC,ADK,ARK,BAY,BCC,BTS,BTC,BCH,BTCD,BDL,BLK,BLOCK,BURST,GBYTE,BCN,CLAM,CLOAK,CMP,XCP,CRW,DCT,DASH,DCR,DMD,DGB,XDN,DOGE,ECN,EMC2,XEL,EMC,ENRG,ETH,ETC,EXP,FCT,FAIR,FRST,GXS,GAM,GAME,GOLOS,GRC,GRS,NLG,HSR,IOC,ION,MIOTA,KMD,LBC,LEO,LSK,LTC,LKK,ETP,MONA,XMR,MUE,MOON,NAV,XEM,NEO,NMC,NEBL,NXS,NLC2,NXT,OK,OMNI,PIVX,PART,PPC,POT,RADS,RDD,XRP,RISE,RBY,SIB,SLS,SHIFT,SC,SKY,SPR,SPRTS,STEEM,XLM,STRAT,SYS,TCC,UBQ,UNO,XVG,VTC,VIA,WAVES,XZC,ZEC,ZEN
2014-01-15,0,0,0,0,0,0,0,0,0,0,10216700000,0,0,0,0,0,0,0,0,0,0,0,263610,9604290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599368000,0,0,75752,0,0,0,0,0,0,48721000,0,38032700,0,77784100,0,0,0,124844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492916,0,0,0,0,0,0,0,0,0,165599000,0,0,0,0
2014-01-16,0,0,0,0,0,0,0,0,0,0,10553800000,0,0,0,0,0,0,0,0,0,0,0,200009,11924600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629109000,0,0,67700,0,0,0,0,0,0,50051300,0,35466200,0,77128700,0,0,0,128756000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572721,0,0,0,0,0,0,0,0,0,173599000,0,0,0,0
2014-01-17,0,0,0,0,0,0,0,0,0,0,10241200000,0,0,0,0,0,0,0,0,0,0,0,183335,11354800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608196000,0,0,31244,0,0,0,0,0,0,47937100,0,32948900,0,84391500,0,0,0,125794000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565588,0,0,0,0,0,0,0,0,0,164096000,0,0,0,0
2014-01-18,0,0,0,0,0,0,0,0,0,0,10018200000,0,0,0,0,0,0,0,0,0,0,0,211969,12584500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594282000,0,0,53690,0,0,0,0,0,0,46105800,0,29365400,0,79846400,0,0,0,120286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529827,0,0,0,0,0,0,0,0,0,160724000,0,0,0,0
2014-01-19,0,0,0,0,0,0,0,0,0,0,10311500000,0,0,0,0,0,0,0,0,0,0,0,184011,18265900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613694000,0,0,51933,0,0,0,0,0,0,47687100,0,46323900,0,78635300,0,0,0,122726000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518948,0,0,0,0,0,0,0,0,0,166631000,0,0,0,0
2014-01-20,0,0,0,0,0,0,0,0,0,0,10704800000,0,0,0,0,0,0,0,0,0,0,0,162667,22181200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636076000,0,0,51596,0,0,0,0,0,0,50015400,0,53078000,0,56411200,0,0,0,125917000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481838,0,66178,0,0,0,0,0,0,0,163282000,0,0,0,0
2014-01-21,0,0,0,0,0,0,0,0,0,0,10687700000,0,0,0,0,0,0,0,0,0,0,0,170646,40764900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631140000,0,0,51929,0,0,0,0,0,0,48883900,0,78987500,0,71230700,0,0,0,124035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441903,0,193581,0,0,0,0,0,0,0,155179000,0,0,0,0
2014-01-22,0,0,0,0,0,0,0,0,0,0,10661400000,0,0,0,0,0,0,0,0,0,0,0,145607,65907400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622754000,0,0,242325,0,0,0,0,0,0,47237200,0,95888100,0,77604500,0,0,0,121507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533128,0,281910,0,0,0,0,0,0,0,156246000,0,0,0,0
2014-01-23,0,0,0,0,0,0,0,0,0,0,10398000000,0,0,0,0,0,0,0,0,0,0,0,158891,50913700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593147000,0,0,703648,0,0,0,0,0,0,45175700,0,73596300,0,63279700,0,0,0,112949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498925,0,321975,0,0,0,0,0,0,0,151554000,0,0,0,0
2014-01-24,0,0,0,0,0,0,0,0,0,0,10118400000,0,0,0,0,0,0,0,0,0,0,0,139750,62568300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559690000,0,0,837440,0,0,0,0,0,0,41990700,0,74395300,0,67154500,0,0,0,104687000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568006,0,499373,0,0,0,0,0,0,0,144826000,0,0,0,0
